<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Presence,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Congo, Democratic Republic of the","-2.5","23.5","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","EPPO (2022); EPPO (2021)","-"
"Kenya","1","38","Present","Extent not recorded","Not recorded","Introduced","2009","Invasive","CABI (Undated); CABI and EPPO (2017); EPPO (2014); EPPO (2020); EPPO (2021); EPPO (2022)","Original citation: Nadel et al. (2012)"
"Madagascar","-20","47","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","EPPO (2022); EPPO (2021)","-"
"Malawi","-13.5","34","Present","Extent not recorded","Not recorded","Introduced","2008","Invasive","Nadel et al. (2010); CABI and EPPO (2017); EPPO (2014); EPPO (2020); EPPO (2021); EPPO (2022)","-"
"Mauritius","-20.3","57.58333","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","EPPO (2022); EPPO (2021)","-"
"Mozambique","-18.25","35","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","CABI and EPPO (2017); EPPO (2020); EPPO (2021); EPPO (2022)","-"
"R?union","-21.1","55.6","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","Streito et al. (2016); CABI and EPPO (2017); EPPO (2020); EPPO (2021); EPPO (2022)","-"
"Rwanda","-2","30","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","CABI and EPPO (2017); EPPO (2020); EPPO (2021); EPPO (2022)","-"
"South Africa","-29","24","Present","Extent not recorded","Not recorded","Introduced","2003","Invasive","Jacobs and Neser (2005); CABI and EPPO (2017); EPPO (2014); EPPO (2020); EPPO (2021); EPPO (2022); Nadel et al. (2010); Nadel et al. (2010); Noack et al. (2011)","-"
"Tanzania","-6","35","Present","Extent not recorded","Not recorded","Introduced","Not recorded","Invasive","CABI and EPPO (2017); EPPO (2020); EPPO (2021); EPPO (2022)","-"
"Uganda","1.25","32.5","Present","Extent not recorded","Not recorded","Introduced","Not recorded","Invasive","BiCEP (2014); CABI and EPPO (2017); EPPO (2020); EPPO (2021); EPPO (2022)","Unconfirmed report"
"Zambia","-14.33333","28.5","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","EPPO (2022); EPPO (2021)","-"
"Zimbabwe","-19","29.75","Present","Extent not recorded","Not recorded","Introduced","2007","Invasive","Nadel et al. (2010); CABI and EPPO (2017); EPPO (2014); EPPO (2020); EPPO (2021); EPPO (2022)","-"
"Israel","31.5","34.75","Present","Extent not recorded","Not recorded","Origin not recorded","2014","Invasive status not recorded","Novoselsky and Freidberg (2016); EPPO (2020); EPPO (2021); EPPO (2022); Novoselsky and Freidberg (2016a)","via PestLens newsletter."
"Albania","41","20","Present","Few occurrences","Not recorded","Introduced","2016","Invasive status not recorded","CABI (Undated); CABI and EPPO (2017); EPPO (2020); EPPO (2021); EPPO (2022); van der Heyed (2017)","Original citation: van der Heyden (2017)"
"Gibraltar","36.13333","-5.35","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","Malumphy et al. (2020); EPPO (2022)","-"
"Greece","39","22","Present","Localized","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","EPPO (2022); CABI (2022); EPPO (2018); EPPO (2020); EPPO (2021); Petrakis (2018)","-"
" - Crete","35.15585","24.89502","Present","Extent not recorded","Not recorded","Origin not recorded","Not recorded","Invasive status not recorded","EPPO (2022)","-"
