gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
857850424	cc902858-60bd-49b9-a7ae-ae1015210295		Animalia	Arthropoda	Insecta	Hemiptera	Thaumastocoridae	Thaumastocoris	Thaumastocoris peregrinus		SPECIES	Thaumastocoris peregrinus D.L.Carpintero & Dellapé, 2006	Thaumastocoris peregrinus	Carpintero & Dellapé, 2005	AR	Paseo del Bosque, La Plata	Buenos Aires	PRESENT		610414e0-8040-11d9-8294-b8a03c50a862	-34.909052	-57.93552											2012298	2012298	PRESERVED_SPECIMEN	fcnym.unlp.edu.ar	ent-het	1079				CC_BY_4_0					2024-01-25T00:32:43.185Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE
857850419	cc902858-60bd-49b9-a7ae-ae1015210295		Animalia	Arthropoda	Insecta	Hemiptera	Thaumastocoridae	Thaumastocoris	Thaumastocoris peregrinus		SPECIES	Thaumastocoris peregrinus D.L.Carpintero & Dellapé, 2006	Thaumastocoris peregrinus	Carpintero & Dellapé, 2005	AR	Paseo del Bosque, La Plata	Buenos Aires	PRESENT		610414e0-8040-11d9-8294-b8a03c50a862	-34.909052	-57.93552											2012298	2012298	PRESERVED_SPECIMEN	fcnym.unlp.edu.ar	ent-het	1074				CC_BY_4_0					2024-01-25T00:32:43.182Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE
857850418	cc902858-60bd-49b9-a7ae-ae1015210295		Animalia	Arthropoda	Insecta	Hemiptera	Thaumastocoridae	Thaumastocoris	Thaumastocoris peregrinus		SPECIES	Thaumastocoris peregrinus D.L.Carpintero & Dellapé, 2006	Thaumastocoris peregrinus	Carpintero & Dellapé, 2005	AR	Paseo del Bosque, La Plata	Buenos Aires	PRESENT		610414e0-8040-11d9-8294-b8a03c50a862	-34.909052	-57.93552											2012298	2012298	PRESERVED_SPECIMEN	fcnym.unlp.edu.ar	ent-het	1077				CC_BY_4_0					2024-01-25T00:32:43.182Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE
857850417	cc902858-60bd-49b9-a7ae-ae1015210295		Animalia	Arthropoda	Insecta	Hemiptera	Thaumastocoridae	Thaumastocoris	Thaumastocoris peregrinus		SPECIES	Thaumastocoris peregrinus D.L.Carpintero & Dellapé, 2006	Thaumastocoris peregrinus	Carpintero & Dellapé, 2005	AR	Paseo del Bosque, La Plata	Buenos Aires	PRESENT		610414e0-8040-11d9-8294-b8a03c50a862	-34.909052	-57.93552											2012298	2012298	PRESERVED_SPECIMEN	fcnym.unlp.edu.ar	ent-het	1080				CC_BY_4_0					2024-01-25T00:32:43.182Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE
857850416	cc902858-60bd-49b9-a7ae-ae1015210295		Animalia	Arthropoda	Insecta	Hemiptera	Thaumastocoridae	Thaumastocoris	Thaumastocoris peregrinus		SPECIES	Thaumastocoris peregrinus D.L.Carpintero & Dellapé, 2006	Thaumastocoris peregrinus	Carpintero & Dellapé, 2005	AR	Paseo del Bosque, La Plata	Buenos Aires	PRESENT		610414e0-8040-11d9-8294-b8a03c50a862	-34.909052	-57.93552											2012298	2012298	PRESERVED_SPECIMEN	fcnym.unlp.edu.ar	ent-het	1081				CC_BY_4_0					2024-01-25T00:32:43.183Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE
857850414	cc902858-60bd-49b9-a7ae-ae1015210295		Animalia	Arthropoda	Insecta	Hemiptera	Thaumastocoridae	Thaumastocoris	Thaumastocoris peregrinus		SPECIES	Thaumastocoris peregrinus D.L.Carpintero & Dellapé, 2006	Thaumastocoris peregrinus	Carpintero & Dellapé, 2005	AR	Paseo del Bosque, La Plata	Buenos Aires	PRESENT		610414e0-8040-11d9-8294-b8a03c50a862	-34.909052	-57.93552											2012298	2012298	PRESERVED_SPECIMEN	fcnym.unlp.edu.ar	ent-het	1071				CC_BY_4_0					2024-01-25T00:32:43.183Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE
857850413	cc902858-60bd-49b9-a7ae-ae1015210295		Animalia	Arthropoda	Insecta	Hemiptera	Thaumastocoridae	Thaumastocoris	Thaumastocoris peregrinus		SPECIES	Thaumastocoris peregrinus D.L.Carpintero & Dellapé, 2006	Thaumastocoris peregrinus	Carpintero & Dellapé, 2005	AR	Paseo del Bosque, La Plata	Buenos Aires	PRESENT		610414e0-8040-11d9-8294-b8a03c50a862	-34.909052	-57.93552											2012298	2012298	PRESERVED_SPECIMEN	fcnym.unlp.edu.ar	ent-het	1073				CC_BY_4_0					2024-01-25T00:32:43.184Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE
857850412	cc902858-60bd-49b9-a7ae-ae1015210295		Animalia	Arthropoda	Insecta	Hemiptera	Thaumastocoridae	Thaumastocoris	Thaumastocoris peregrinus		SPECIES	Thaumastocoris peregrinus D.L.Carpintero & Dellapé, 2006	Thaumastocoris peregrinus	Carpintero & Dellapé, 2005	AR	Paseo del Bosque, La Plata	Buenos Aires	PRESENT		610414e0-8040-11d9-8294-b8a03c50a862	-34.909052	-57.93552											2012298	2012298	PRESERVED_SPECIMEN	fcnym.unlp.edu.ar	ent-het	1075				CC_BY_4_0					2024-01-25T00:32:43.182Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE
857850411	cc902858-60bd-49b9-a7ae-ae1015210295		Animalia	Arthropoda	Insecta	Hemiptera	Thaumastocoridae	Thaumastocoris	Thaumastocoris peregrinus		SPECIES	Thaumastocoris peregrinus D.L.Carpintero & Dellapé, 2006	Thaumastocoris peregrinus	Carpintero & Dellapé, 2005	AR	Paseo del Bosque, La Plata	Buenos Aires	PRESENT		610414e0-8040-11d9-8294-b8a03c50a862	-34.909052	-57.93552											2012298	2012298	PRESERVED_SPECIMEN	fcnym.unlp.edu.ar	ent-het	1078				CC_BY_4_0					2024-01-25T00:32:43.184Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE
857850410	cc902858-60bd-49b9-a7ae-ae1015210295		Animalia	Arthropoda	Insecta	Hemiptera	Thaumastocoridae	Thaumastocoris	Thaumastocoris peregrinus		SPECIES	Thaumastocoris peregrinus D.L.Carpintero & Dellapé, 2006	Thaumastocoris peregrinus	Carpintero & Dellapé, 2005	AR	Paseo del Bosque, La Plata	Buenos Aires	PRESENT		610414e0-8040-11d9-8294-b8a03c50a862	-34.909052	-57.93552											2012298	2012298	PRESERVED_SPECIMEN	fcnym.unlp.edu.ar	ent-het	1076				CC_BY_4_0					2024-01-25T00:32:43.184Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE
