REFERENCE,COUNTRY,LATITUDE,LONGITUDE
"Jacobs & Neser, 2011",AUSTRALIA,-21.9212,114.1281
,AUSTRALIA,-33.9167,151.1667
"Noack et al., 2009",AUSTRALIA,-34.0276,151.0669
"Noack et al.,  2011",AUSTRALIA,-35.2762,149.1234
,AUSTRALIA,-33.7760,151.0515
,AUSTRALIA,-33.7130,151.1076
,AUSTRALIA,-33.9349,150.9349
,AUSTRALIA,-34.0701,150.9349
,AUSTRALIA,-34.0397,151.0560
,AUSTRALIA,-34.0376,151.0551
,AUSTRALIA,-34.0274,151.0653
,AUSTRALIA,-34.0276,151.0670
,AUSTRALIA,-33.8996,151.0135
,AUSTRALIA,-33.7370,151.2847
,AUSTRALIA,-34.0069,150.8939
,AUSTRALIA,-33.7844,151.0089
,AUSTRALIA,-34.0080,151.0681
,AUSTRALIA,-33.8944,151.1669
,AUSTRALIA,-33.8874,151.1905
,AUSTRALIA,-33.8520,151.0671
,AUSTRALIA,-33.8278,151.2505
,AUSTRALIA,-33.7673,151.2116
,AUSTRALIA,-33.9575,150.9482
,AUSTRALIA,-31.2667,149.2833
,AUSTRALIA,-34.6333,148.0333
,AUSTRALIA,-32.5908,149.5861
,AUSTRALIA,-34.7500,146.5500
,AUSTRALIA,-33.1333,148.1833
,AUSTRALIA,-35.1167,147.3667
,AUSTRALIA,-31.0833,150.9167
,AUSTRALIA,-31.0833,150.9167
,AUSTRALIA,-30.6519,144.9336
,AUSTRALIA,-31.3928,148.6911
,AUSTRALIA,-31.5619,143.4869
,AUSTRALIA,-31.1106,147.1914
,AUSTRALIA,-30.9106,147.8656
,AUSTRALIA,-28.8406,149.7019
,AUSTRALIA,-26.2502,151.8227
,AUSTRALIA,-28.0667,145.6667
,AUSTRALIA,-34.9667,138.6167
"Nadel & Noak, 2012",AUSTRALIA,-26.1340,151.2900
,AUSTRALIA,-27.9380,144.9550
,AUSTRALIA,-28.7350,149.1080
,AUSTRALIA,-30.5180,144.2210
,AUSTRALIA,-31.4610,142.7110
,AUSTRALIA,-30.9790,146.4650
,AUSTRALIA,-30.7900,147.1990
,AUSTRALIA,-31.2520,148.0380
,AUSTRALIA,-31.1680,148.6470
,AUSTRALIA,-30.9370,150.3250
,AUSTRALIA,-32.4890,148.9190
,AUSTRALIA,-32.9720,147.4930
,AUSTRALIA,-33.7800,150.4110
,AUSTRALIA,-34.5080,147.2510
,AUSTRALIA,-34.5640,145.8240
,AUSTRALIA,-34.9830,146.6070
,AUSTRALIA,-35.0950,148.3970
,AUSTRALIA,-34.8150,137.8260
"Sopow et al.,  2012",NEW ZEALAND,-36.9291,174.8417
